#TILEMAP_INFO
	960 //map_width
	544 //map_height
	32 //tile_width
	32 //tile_height
	30 //tiles per width
	17 //tiles per height
	4 //number of layers
	3 //number of tilesets
	3 //number of entities

#LAYERS_INFO
	0 Layer_1 ENTITY
	1 Layer_2 TILE
	2 Layer_3 TILE
	3 Layer_4 ENTITY

#TILESETS_INFO
	0 Tileset_8x8 content/tileset_8x8.png 8 8
	1 Tileset_16x16 content/tileset_16x16.png 16 16
	2 Tileset_32x32 content/tileset_32x32.png 32 32

#ENTITIES_INFO

Layer_1
	0

Layer_2
	-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
	-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1019 1019 1019 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
	-1 -1 -1 -1 -1 1019 1019 1019 1019 1019 1019 1019 -1 -1 -1 1019 1019 1019 1019 -1 1019 -1 -1 -1 -1 -1 -1 -1 -1 -1 
	-1 -1 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 -1 -1 -1 -1 -1 -1 -1 -1 
	-1 -1 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
	1019 1019 -1 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
	1019 1019 -1 -1 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 -1 -1 -1 -1 -1 -1 -1 -1 -1 
	1019 1019 1019 -1 1019 1019 -1 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 -1 1019 -1 -1 -1 -1 -1 -1 -1 -1 
	-1 -1 1019 1019 1019 1019 1019 1019 1019 -1 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 -1 -1 -1 -1 -1 -1 -1 -1 
	-1 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 -1 -1 -1 -1 -1 -1 -1 -1 
	-1 -1 1019 1019 1019 -1 1019 -1 1019 1019 1019 1019 -1 -1 1019 1019 1019 1019 1019 1019 1019 1019 -1 -1 -1 -1 -1 -1 -1 -1 
	-1 1019 1019 -1 -1 1019 1019 1019 -1 1019 1019 -1 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 -1 -1 -1 -1 -1 -1 -1 
	-1 1019 1019 1019 1019 1019 -1 1019 1019 1019 -1 1019 1019 1019 -1 1019 1019 1019 1019 1019 -1 1019 1019 1019 -1 -1 -1 -1 -1 -1 
	1019 -1 1019 1019 1019 1019 -1 1019 1019 1019 -1 -1 1019 1019 -1 1019 1019 1019 1019 1019 1019 1019 1019 1019 -1 1019 -1 -1 -1 -1 
	1019 1019 -1 1019 1019 1019 1019 -1 1019 -1 1019 1019 -1 1019 -1 1019 1019 1019 1019 1019 -1 -1 1019 1019 1019 1019 -1 -1 -1 -1 
	-1 -1 1019 1019 1019 1019 1019 1019 1019 1019 -1 1019 -1 1019 -1 1019 1019 1019 1019 1019 -1 -1 -1 1019 -1 1019 -1 -1 -1 -1 
	1019 -1 1019 1019 1019 1019 -1 -1 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 1019 -1 -1 1019 1019 -1 -1 -1 -1 -1 

Layer_3
	-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
	-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
	-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
	-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
	-1 -1 -1 -1 -1 -1 1044 1044 1044 1044 1045 1044 1044 1044 1044 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
	-1 -1 -1 -1 -1 -1 1044 1044 1044 1044 -1 -1 -1 -1 -1 1044 1044 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
	-1 -1 -1 -1 -1 -1 -1 1043 1045 1045 -1 -1 -1 -1 -1 -1 1044 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
	-1 -1 -1 -1 -1 -1 -1 -1 -1 1043 -1 -1 1043 -1 -1 -1 1044 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
	-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1044 1044 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
	-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1044 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
	-1 -1 -1 -1 -1 -1 -1 -1 -1 1043 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
	-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
